s_label,conditions,count
Smoking,Parkinson Disease; Depressive disorder; Alzheimer's Disease; Cerebrovascular Disorders; Dementia; Autoimmune liver disease; alcohol-related liver disease,7
Alcohol consumption,Alzheimer's Disease; Depressive disorder; Parkinson Disease; alcohol-related liver disease; Chronic liver disease; Dementia,6
Stress,Parkinson Disease; Alzheimer's Disease; Cerebrovascular Disorders; Depressive disorder; Dementia; Toxic liver disease,6
Conflict (Psychology),Alzheimer's Disease; Dementia; Autoimmune liver disease; Depressive disorder; Parkinson Disease,5
Smoker,Parkinson Disease; Dementia; Depressive disorder; Alzheimer's Disease; Cerebrovascular Disorders,5
Diet,Dementia; Depressive disorder; Parkinson Disease; Alzheimer's Disease; Chronic liver disease,5
Dietary Habits,Parkinson Disease; Dementia; Chronic liver disease; Depressive disorder; Alzheimer's Disease,5
Exercise,Dementia; Depressive disorder; Parkinson Disease; Alzheimer's Disease; Cerebrovascular Disorders,5
Malnutrition,Parkinson Disease; Dementia; Depressive disorder; Alzheimer's Disease,4
Sleep Disorders,Parkinson Disease; Dementia; Depressive disorder; Alzheimer's Disease,4
Illiteracy,Cerebrovascular Disorders; Dementia; Depressive disorder; Alzheimer's Disease,4
Fasting,Depressive disorder; Parkinson Disease; Dementia; Alzheimer's Disease,4
Walking (activity),Depressive disorder; Alzheimer's Disease; Parkinson Disease; Dementia,4
Depressive Symptoms,Depressive disorder; Dementia; Parkinson Disease; Alzheimer's Disease,4
Air Pollutants,Alzheimer's Disease; Depressive disorder; Parkinson Disease; Dementia,4
Age,Cerebrovascular Disorders; Alzheimer's Disease; Parkinson Disease,3
Personal Satisfaction,Cerebrovascular Disorders; Alzheimer's Disease; Depressive disorder,3
Weight Gain,Alzheimer's Disease; Cerebrovascular Disorders; Depressive disorder,3
Loneliness,Alzheimer's Disease; Depressive disorder; Dementia,3
Leisure Activities,Dementia; Depressive disorder; Alzheimer's Disease,3
Headache,Alzheimer's Disease; Depressive disorder; Dementia,3
Drowsiness,Alzheimer's Disease; Depressive disorder; Parkinson Disease,3
Life Style,Dementia; Alzheimer's Disease,2
Depressive disorder,Alzheimer's Disease; Dementia,2
Environmental Pollutants,Alzheimer's Disease,1
