geneLabel,conditions
ABCA1,liver disease
ABCA12,liver disease
ABCA2,liver disease
ABCB11,liver disease; liver cancer
ABCB4,liver cancer; liver disease
ABCC2,liver disease
ABCC6,liver disease
ABCC8,liver disease; liver cancer
ABCD1,liver disease
ABCD3,liver disease
ABCG5,liver disease
ABCG8,liver disease
ABHD5,liver disease
ACAD9,liver disease
ACADM,liver disease
ACADS,liver disease
ACADVL,liver disease
ACAT1,liver disease
ACE,liver disease; cerebrovascular disease
ACE2,cerebrovascular disease
ACHE,Parkinson's disease
ACOX1,liver disease
ACOX2,liver disease
ACP5,liver disease
ACSF3,liver disease
ACSL5,liver disease
ACTB,Parkinson's disease; liver cancer; liver disease; cerebrovascular disease
ACTG2,liver disease
ACVR2B,liver disease
ACVRL1,liver disease
ADA,liver disease
ADA2,liver disease
ADAMTS13,liver disease
ADAMTSL2,liver disease
ADAR,liver disease
ADIPOQ,liver disease; cerebrovascular disease
ADK,liver disease
ADRA2A,liver disease
AFP,liver cancer; liver disease
AGA,liver disease
AGGF1,liver disease
AGL,liver disease
AGPAT2,liver disease
AGR2,liver disease
AGRN,Parkinson's disease
AGT,cerebrovascular disease
AHCY,liver disease; liver cancer
AHR,Parkinson's disease
AIF1,cerebrovascular disease; Parkinson's disease
AIFM1,liver disease
AIRE,liver disease
AKR1D1,liver disease
AKT1,Parkinson's disease; cerebrovascular disease; liver cancer; liver disease
AKT2,liver disease
ALAS2,liver disease
ALB,liver cancer; liver disease; cerebrovascular disease
ALDH1A2,liver disease
ALDOA,liver disease
ALDOB,liver disease
ALG1,liver disease
ALG11,liver disease
ALG12,liver disease
ALG13,liver disease
ALG2,liver disease
ALG3,liver disease
ALG5,liver disease
ALG6,liver disease
ALG8,liver disease
ALG9,liver disease
ALMS1,liver disease
AMACR,liver disease
ANK1,liver disease
ANKRD55,liver disease
ANKS6,liver disease
ANTXR1,liver disease
ANXA5,liver disease; liver cancer
AP1B1,liver disease
AP1S1,liver disease
AP1S3,liver disease
AP3B1,liver disease
AP3D1,liver disease
APC,liver disease; liver cancer
APC2,liver disease
APOA1,liver disease
APOB,liver disease; cerebrovascular disease
APOC2,liver disease
APOC3,liver disease
APOE,cerebrovascular disease; liver disease; Parkinson's disease
APP,Parkinson's disease; cerebrovascular disease
APPL1,liver disease; liver cancer
ARG1,liver disease
ARHGAP27,Parkinson's disease
ARHGAP31,liver disease
ARHGEF2,Parkinson's disease
ARID1A,liver cancer; liver disease
ARID1B,liver disease; liver cancer
ARID2,liver disease; liver cancer
ARL13B,liver disease
ARL6,liver disease
ARMC5,liver disease
ARPC5,liver disease
ARSA,liver disease
ARSB,liver disease
ARVCF,liver disease
ASAH1,liver disease
ASH1L,Parkinson's disease
ASL,liver disease
ASS1,liver disease
ASXL1,liver disease
ASXL3,Parkinson's disease
ATAD3A,liver disease
ATM,liver disease; liver cancer
ATP11C,liver disease
ATP13A2,Parkinson's disease
ATP1A3,Parkinson's disease
ATP5F1A,liver disease
ATP5F1D,liver disease
ATP5F1E,liver disease
ATP5MK,liver disease
ATP6,liver disease
ATP6AP1,liver disease
ATP6AP2,liver disease; Parkinson's disease
ATP6V1B2,liver disease
ATP7A,liver disease
ATP7B,liver cancer; liver disease
ATP8,liver disease
ATP8B1,liver disease
ATPAF1,liver disease
ATPAF2,liver disease
ATRX,liver disease
ATXN2,Parkinson's disease
AUH,liver disease
AXIN1,liver cancer; liver disease
B2M,liver disease
B3GLCT,liver disease
B4GALT1,liver disease
B9D1,liver disease
B9D2,liver disease
BAAT,liver disease
BACE1,Parkinson's disease
BAG3,Parkinson's disease
BAP1,liver disease
BAX,liver disease; cerebrovascular disease; liver cancer
BAZ1B,liver disease
BBIP1,liver disease
BBS1,liver disease
BBS10,liver disease
BBS12,liver disease
BBS2,liver disease
BBS4,liver disease
BBS5,liver disease
BBS7,liver disease
BBS9,liver disease
BCAP31,liver disease
BCAT2,liver disease
BCHE,liver disease
BCKDK,Parkinson's disease
BCL2,liver cancer; liver disease; cerebrovascular disease
BCL2L1,liver cancer; liver disease
BCL7B,liver disease
BCS1L,liver disease
BDNF,Parkinson's disease; cerebrovascular disease
BECN1,liver disease
BICC1,liver disease
BICRA,liver disease
BIN3,Parkinson's disease
BIRC5,liver cancer
BLK,liver cancer; liver disease
BLM,liver disease
BLNK,liver disease
BLVRA,liver disease
BMP2,liver cancer; liver disease
BMP6,liver disease; liver cancer
BMPER,liver disease
BMPR1A,liver cancer; liver disease
BOLA3,liver disease
BPGM,liver disease
BRCA1,liver cancer; liver disease
BRCA2,liver disease; liver cancer
BRIP1,Parkinson's disease; liver disease
BSCL2,liver disease
BST1,Parkinson's disease
BTD,liver disease
BTK,liver disease; liver cancer
BTNL2,liver disease
BUD23,liver disease
C1QBP,liver disease
C1S,liver disease
C2orf69,liver disease
C4B,liver disease
CA2,liver disease
CA5A,liver disease
CAB39L,Parkinson's disease
CACNA1S,liver disease
CALR,liver disease
CAMK2D,Parkinson's disease
CARS2,Parkinson's disease; liver disease
CASK,liver disease
CASP10,liver cancer; liver disease
CASP3,cerebrovascular disease; Parkinson's disease; liver cancer; liver disease
CASP8,liver disease; liver cancer
CASP9,liver disease; liver cancer
CASR,liver disease
CASZ1,liver disease
CAV1,liver disease
CAV3,liver disease
CAVIN1,liver disease
CBL,liver disease
CBS,liver disease
CC2D2A,liver cancer; liver disease; Parkinson's disease
CCDC28B,liver disease
CCDC47,liver disease
CCDC62,Parkinson's disease
